Title,Worldwide Gross,Production Budget,Release Year,Content Rating,Running Time,Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,Profit Ratio,Decade,Budget Tier
The Big Lebowski,46189568,15000000,1998,R,127,Comedy,Contemporary Fiction,78,8.2,3.0793045333333335,1990,Low
Primary Colors,39017984,65000000,1998,R,143,Comedy,Dramatization,80,6.7,0.600276676923077,1990,Medium
Lost In Space,136117629,80000000,1998,PG-13,131,Adventure,Science Fiction,26,4.8,1.7014703625,1990,Medium
Mercury Rising,32983332,60000000,1998,R,112,Thriller,Contemporary Fiction,17,5.8,0.5497222,1990,Medium
City of Angels,198750909,55000000,1998,PG-13,117,Drama,Fantasy,59,6.4,3.613652890909091,1990,Medium
He Got Game,21567853,25000000,1998,R,134,Drama,Contemporary Fiction,80,6.8,0.86271412,1990,Low
Deep Impact,349464664,80000000,1998,PG-13,120,Adventure,Science Fiction,47,6.0,4.3683083,1990,Medium
Bulworth,29203383,30000000,1998,R,107,Comedy,Contemporary Fiction,75,6.8,0.9734461,1990,Low
The Horse Whisperer,75383563,60000000,1998,PG-13,168,Drama,Contemporary Fiction,71,6.3,1.2563927166666666,1990,Medium
Godzilla,376000000,125000000,1998,PG-13,139,Action,Science Fiction,25,4.8,3.008,1990,High
Hope Floats,81529000,30000000,1998,PG-13,114,Drama,Contemporary Fiction,23,5.3,2.717633333333333,1990,Low
The Truman,248400000,60000000,1998,PG,102,Drama,Contemporary Fiction,95,8.0,4.14,1990,Medium
"Six Days, Seven Nights",164800000,80000000,1998,PG-13,101,Romantic Comedy,Contemporary Fiction,37,4.7,2.06,1990,Medium
Out of Sight,37562568,48000000,1998,R,129,Drama,Contemporary Fiction,93,7.1,0.7825535,1990,Low
Armageddon,554600000,140000000,1998,PG-13,150,Adventure,Contemporary Fiction,42,6.1,3.9614285714285713,1990,High
Lethal Weapon 4,285400000,140000000,1998,R,127,Action,Contemporary Fiction,54,6.4,2.0385714285714287,1990,High
Small Soldiers,71743823,40000000,1998,PG-13,110,Comedy,Kids Fiction,46,5.9,1.793595575,1990,Low
There's Something About Mary,360099999,22000000,1998,R,119,Romantic Comedy,Contemporary Fiction,83,7.2,16.368181772727272,1990,Low
The Mask of Zorro,233700000,65000000,1998,PG-13,136,Adventure,Historical Fiction,82,6.7,3.5953846153846154,1990,Medium
Saving Private Ryan,481635085,65000000,1998,R,169,Drama,Historical Fiction,91,8.5,7.409770538461538,1990,Medium
The Negotiator,49105766,50000000,1998,R,138,Action,Contemporary Fiction,81,7.2,0.98211532,1990,Low
Snake Eyes,103891409,73000000,1998,R,99,Thriller,Contemporary Fiction,41,5.8,1.4231699863013698,1990,Medium
Blade,131237688,45000000,1998,R,121,Action,Super Hero,55,7.0,2.9163930666666666,1990,Low
Rounders,22921898,12000000,1998,R,120,Drama,Contemporary Fiction,64,7.3,1.9101581666666667,1990,Low
Simon Birch,18253415,20000000,1998,PG,110,Drama,Contemporary Fiction,44,6.7,0.91267075,1990,Low
One True Thing,26708196,30000000,1998,R,127,Drama,Contemporary Fiction,88,6.9,0.8902732,1990,Low
Rush Hour,245300000,35000000,1998,PG-13,98,Action,Contemporary Fiction,60,6.8,7.008571428571429,1990,Low
Ronin,41610884,55000000,1998,R,121,Action,Contemporary Fiction,68,7.2,0.7565615272727273,1990,Medium
Antz,152457863,60000000,1998,PG,83,Adventure,Kids Fiction,95,6.8,2.5409643833333333,1990,Medium
Beloved,22852487,53000000,1998,R,172,Drama,Historical Fiction,77,5.3,0.431179,1990,Medium
Bride of Chucky,50692188,25000000,1998,R,89,Horror,Fantasy,43,5.3,2.02768752,1990,Low
Practical Magic,68336997,60000000,1998,PG-13,105,Comedy,Fantasy,21,5.5,1.13894995,1990,Medium
Vampires,20268825,20000000,1998,R,108,Horror,Fantasy,33,6.8,1.01344125,1990,Low
Elizabeth,82150642,25000000,1998,R,124,Drama,Dramatization,81,7.6,3.28602568,1990,Low
The Waterboy,190191646,23000000,1998,PG-13,86,Comedy,Contemporary Fiction,32,5.7,8.269202,1990,Low
Meet Joe Black,44650003,85000000,1998,PG-13,154,Drama,Fantasy,50,6.9,0.5252941529411764,1990,Medium
A Bug's Life,363109485,45000000,1998,G,96,Adventure,Fantasy,91,7.3,8.069099666666666,1990,Low
Enemy of the State,250649836,85000000,1998,R,127,Action,Contemporary Fiction,70,7.2,2.9488216,1990,Medium
Babe: Pig in the City,69131860,80000000,1998,G,75,Adventure,Kids Fiction,61,6.1,0.86414825,1990,Medium
Psycho,37226218,20000000,1998,R,100,Horror,Contemporary Fiction,35,4.5,1.8613109,1990,Low
A Simple Plan,16316273,17000000,1998,R,121,Drama,Contemporary Fiction,90,7.6,0.9597807647058824,1990,Low
Rushmore,19080435,10000000,1998,R,89,Black Comedy,Contemporary Fiction,87,7.8,1.9080435,1990,Low
Shakespeare in Love,279500000,26000000,1998,R,122,Romantic Comedy,Historical Fiction,93,7.4,10.75,1990,Low
The Prince of Egypt,218600000,60000000,1998,PG,97,Adventure,Dramatization,79,6.8,3.6433333333333335,1990,Medium
You've Got Mail,250800000,65000000,1998,PG,119,Drama,Contemporary Fiction,68,6.2,3.8584615384615386,1990,Medium
The Thin Red Line,36400491,52000000,1998,R,166,Drama,Dramatization,78,7.5,0.7000094423076924,1990,Medium
A Civil Action,56709981,60000000,1998,PG-13,112,Drama,Contemporary Fiction,61,6.4,0.94516635,1990,Medium
The Faculty,40283321,15000000,1998,R,102,Horror,Contemporary Fiction,51,6.3,2.6855547333333334,1990,Low
Patch Adams,202200000,50000000,1998,PG-13,110,Comedy,Contemporary Fiction,24,6.3,4.044,1990,Low
Stepmom,119709917,50000000,1998,PG-13,127,Drama,Contemporary Fiction,43,6.2,2.39419834,1990,Low
Varsity Blues,54294169,16000000,1999,R,104,Drama,Contemporary Fiction,39,6.0,3.3933855625,1990,Low
Blast from the Past,26613620,35000000,1999,PG-13,111,Comedy,Contemporary Fiction,60,6.4,0.7603891428571429,1990,Low
My Favorite Martian,36850101,60000000,1999,PG,93,Comedy,Science Fiction,13,4.5,0.61416835,1990,Medium
8MM,96398826,40000000,1999,R,119,Thriller,Contemporary Fiction,22,6.3,2.40997065,1990,Low
Analyze This,176885658,30000000,1999,R,103,Comedy,Contemporary Fiction,68,6.6,5.8961886,1990,Low
Cruel Intentions,75803716,11000000,1999,R,95,Drama,Contemporary Fiction,47,6.7,6.891246909090909,1990,Low
The Corruptor,15164492,10000000,1999,R,110,Action,Contemporary Fiction,48,5.8,1.5164492,1990,Low
EDtv,35319689,60000000,1999,PG-13,122,Comedy,Contemporary Fiction,62,6.0,0.5886614833333333,1990,Medium
The Matrix,460279930,65000000,1999,R,136,Action,Science Fiction,86,8.7,7.0812296923076925,1990,Medium
Life,73521587,75000000,1999,R,108,Comedy,Contemporary Fiction,50,5.3,0.9802878266666667,1990,Medium
Election,14943582,8500000,1999,R,103,Black Comedy,Contemporary Fiction,92,7.4,1.7580684705882352,1990,Low
Entrapment,211700000,66000000,1999,PG-13,112,Thriller,Contemporary Fiction,38,6.1,3.2075757575757575,1990,Medium
The Mummy,416385488,80000000,1999,PG-13,124,Adventure,Fantasy,54,6.8,5.2048186,1990,Medium
Tea with Mussolini,14395874,14000000,1999,PG,116,Drama,Dramatization,67,6.7,1.0282767142857143,1990,Low
Instinct,34105207,55000000,1999,R,123,Drama,Contemporary Fiction,27,6.2,0.6200946727272727,1990,Medium
Tarzan,448191819,145000000,1999,G,88,Adventure,Historical Fiction,88,6.9,3.0909780620689653,1990,High
The General's Daughter,149705852,60000000,1999,R,116,Drama,Contemporary Fiction,22,6.1,2.4950975333333334,1990,Medium
Big Daddy,234779795,30000000,1999,PG-13,95,Comedy,Contemporary Fiction,40,4.7,7.825993166666667,1990,Low
Wild Wild West,222105681,175000000,1999,PG-13,107,Adventure,Historical Fiction,21,4.3,1.26917532,1990,High
Summer of Sam,19288130,22000000,1999,R,142,Drama,Historical Fiction,50,6.5,0.8767331818181818,1990,Low
American Pie,234800000,12000000,1999,R,95,Comedy,Contemporary Fiction,59,6.9,19.566666666666666,1990,Low
Muppets From Space,16304786,24000000,1999,G,88,Comedy,Kids Fiction,62,6.1,0.6793660833333334,1990,Low
Eyes Wide Shut,86257553,65000000,1999,R,159,Drama,Contemporary Fiction,78,7.2,1.327039276923077,1990,Medium
Lake Placid,31770413,27000000,1999,R,82,Thriller,Contemporary Fiction,38,5.3,1.176681962962963,1990,Low
The Haunting,180188905,80000000,1999,PG-13,114,Horror,Contemporary Fiction,17,4.6,2.2523613125,1990,Medium
Deep Blue Sea,165048228,60000000,1999,R,105,Action,Contemporary Fiction,57,5.6,2.7508038,1990,Medium
Runaway Bride,308007919,70000000,1999,PG,116,Romantic Comedy,Contemporary Fiction,45,5.2,4.400113128571428,1990,Medium
The Iron Giant,31333917,50000000,1999,PG,86,Adventure,Kids Fiction,97,7.9,0.62667834,1990,Low
The Sixth Sense,672806292,40000000,1999,PG-13,107,Thriller,Contemporary Fiction,85,8.2,16.8201573,1990,Low
The Thomas Crown Affair,124304264,48000000,1999,R,111,Drama,Contemporary Fiction,67,6.7,2.589672166666667,1990,Low
Bowfinger,98699769,55000000,1999,PG-13,96,Comedy,Contemporary Fiction,79,6.4,1.7945412545454547,1990,Medium
The 13th Warrior,61698899,125000000,1999,R,103,Action,Fantasy,33,6.3,0.493591192,1990,High
Stigmata,89441732,32000000,1999,R,103,Horror,Contemporary Fiction,22,6.0,2.795054125,1990,Low
American Beauty,356258047,15000000,1999,R,118,Drama,Contemporary Fiction,89,8.6,23.750536466666667,1990,Low
Blue Streak,117448157,36000000,1999,PG-13,95,Action,Contemporary Fiction,35,5.9,3.2624488055555556,1990,Low
For Love of the Game,46112640,50000000,1999,PG-13,137,Drama,Contemporary Fiction,64,6.2,0.9222528,1990,Low
Double Jeopardy,177835231,40000000,1999,R,105,Action,Contemporary Fiction,25,6.0,4.445880775,1990,Low
Three Kings,107752036,48000000,1999,R,115,Action,Historical Fiction,94,7.3,2.244834083333333,1990,Low
Drive Me Crazy,22591451,8000000,1999,PG-13,91,Comedy,Contemporary Fiction,26,5.1,2.823931375,1990,Low
Random Hearts,63200000,64000000,1999,R,133,Drama,Contemporary Fiction,15,4.8,0.9875,1990,Medium
Fight Club,100853753,65000000,1999,R,139,Drama,Contemporary Fiction,81,8.8,1.5515962,1990,Medium
The Story of Us,27100030,50000000,1999,R,74,Romantic Comedy,Contemporary Fiction,28,5.6,0.5420006,1990,Low
Bringing Out The Dead,16640210,32000000,1999,R,120,Black Comedy,Contemporary Fiction,71,6.8,0.5200065625,1990,Low
The Best Man,34572780,9000000,1999,R,120,Romantic Comedy,Contemporary Fiction,71,6.1,3.84142,1990,Low
Being John Malkovich,32382381,13000000,1999,R,112,Black Comedy,Fantasy,92,7.9,2.4909523846153845,1990,Low
House on Haunted Hill,40846082,19000000,1999,R,96,Horror,Contemporary Fiction,25,5.2,2.149793789473684,1990,Low
The Bone Collector,151463090,48000000,1999,R,118,Thriller,Contemporary Fiction,27,6.3,3.1554810416666665,1990,Low
The Insider,60265197,68000000,1999,R,157,Drama,Dramatization,96,8.0,0.8862528970588235,1990,Medium
Anywhere But Here,18653615,23000000,1999,PG-13,114,Drama,Contemporary Fiction,64,5.9,0.8110267391304348,1990,Low
Dogma,43948865,10000000,1999,R,135,Comedy,Contemporary Fiction,68,7.3,4.3948865,1990,Low
The World is Not Enough,361730660,135000000,1999,PG-13,125,Action,Contemporary Fiction,51,6.3,2.67948637037037,1990,High
Sleepy Hollow,207068340,70000000,1999,R,105,Horror,Historical Fiction,68,7.5,2.958119142857143,1990,Medium
Toy Story 2,484966906,90000000,1999,G,92,Adventure,Kids Fiction,100,8.0,5.388521177777778,1990,Medium
End of Days,212026975,100000000,1999,R,120,Action,Fantasy,11,5.4,2.12026975,1990,Medium
The Green Mile,286601374,60000000,1999,R,187,Drama,Fantasy,77,8.4,4.776689566666667,1990,Medium
Anna and the King,39251128,75000000,1999,PG-13,147,Drama,Dramatization,51,6.5,0.5233483733333333,1990,Medium
Bicentennial Man,87420776,90000000,1999,PG,132,Drama,Science Fiction,38,6.4,0.9713419555555556,1990,Medium
Magnolia,48446802,37000000,1999,R,188,Drama,Contemporary Fiction,83,8.0,1.309373027027027,1990,Low
Stuart Little,298800000,105000000,1999,PG,92,Comedy,Kids Fiction,65,5.8,2.8457142857142856,1990,High
Man on the Moon,47407635,52000000,1999,R,118,Drama,Dramatization,62,7.4,0.9116852884615385,1990,Medium
Any Given Sunday,100230832,60000000,1999,R,162,Drama,Contemporary Fiction,49,6.6,1.6705138666666666,1990,Medium
The Talented Mr. Ripley,81292135,40000000,1999,R,139,Drama,Historical Fiction,82,7.2,2.032303375,1990,Low
The Hurricane,73956241,38000000,1999,R,125,Drama,Dramatization,83,7.4,1.9462168684210526,1990,Low
Next Friday,59675307,9500000,2000,R,98,Comedy,Contemporary Fiction,21,5.3,6.281611263157894,2000,Low
My Dog Skip,35512760,7000000,2000,PG,95,Drama,Kids Fiction,72,6.9,5.073251428571429,2000,Low
Scream 3,161838076,40000000,2000,R,118,Horror,Contemporary Fiction,38,5.3,4.0459519,2000,Low
The Beach,39778599,50000000,2000,R,119,Drama,Contemporary Fiction,19,4.5,0.79557198,2000,Low
Pitch Black,53182088,23000000,2000,R,110,Horror,Science Fiction,55,7.0,2.312264695652174,2000,Low
Wonder Boys,33422485,35000000,2000,R,111,Comedy,Contemporary Fiction,81,7.5,0.9549281428571429,2000,Low
Mission to Mars,106000000,90000000,2000,PG,116,Adventure,Science Fiction,24,5.1,1.1777777777777778,2000,Medium
Erin Brockovich,258400000,50000000,2000,R,133,Drama,Dramatization,83,7.2,5.168,2000,Low
Final Destination,112802314,23000000,2000,R,98,Horror,Fantasy,31,6.8,4.9044484347826085,2000,Low
Romeo Must Die,91036760,25000000,2000,R,114,Action,Contemporary Fiction,33,5.9,3.6414704,2000,Low
High Fidelity,47881663,20000000,2000,R,114,Comedy,Contemporary Fiction,92,7.6,2.39408315,2000,Low
The Road to El Dorado,65700000,95000000,2000,PG,90,Adventure,Kids Fiction,49,6.4,0.6915789473684211,2000,Medium
The Skulls,35007180,15000000,2000,PG-13,107,Thriller,Contemporary Fiction,8,5.3,2.333812,2000,Low
Rules of Engagement,71719931,60000000,2000,R,127,Thriller,Contemporary Fiction,37,6.2,1.1953321833333332,2000,Medium
28 Days,62063972,43000000,2000,PG-13,103,Comedy,Contemporary Fiction,30,5.8,1.4433481860465116,2000,Low
Love and Basketball,27709625,15000000,2000,PG-13,125,Drama,Historical Fiction,81,6.7,1.8473083333333333,2000,Low
U-571,127630030,62000000,2000,PG-13,116,Action,Historical Fiction,68,6.4,2.058548870967742,2000,Medium
The Flintstones in Viva Rock Vegas,59431365,58000000,2000,PG,90,Comedy,Kids Fiction,24,3.3,1.0246787068965517,2000,Medium
Gladiator,457683805,103000000,2000,R,150,Action,Historical Fiction,77,8.3,4.443532087378641,2000,High
Road Trip,119739110,16000000,2000,R,94,Comedy,Contemporary Fiction,59,6.4,7.483694375,2000,Low
Shanghai Noon,71189835,55000000,2000,PG-13,110,Western,Historical Fiction,78,6.6,1.2943606363636364,2000,Medium
Big Momma's House,173559438,33000000,2000,PG-13,98,Comedy,Contemporary Fiction,30,4.7,5.259376909090909,2000,Low
Shaft,107190108,53012938,2000,R,99,Action,Contemporary Fiction,68,5.9,2.0219612804708165,2000,Medium
Titan A.E.,36751979,75000000,2000,PG,95,Adventure,Science Fiction,51,6.4,0.49002638666666665,2000,Medium
Chicken Run,227793915,42000000,2000,G,84,Adventure,Kids Fiction,96,7.3,5.423664642857143,2000,Low
"Me, Myself & Irene",149270999,51000000,2000,R,116,Romantic Comedy,Contemporary Fiction,48,6.9,2.9268823333333334,2000,Medium
The Patriot,215300000,110000000,2000,R,165,Drama,Historical Fiction,62,6.9,1.9572727272727273,2000,High
The Perfect Storm,328711434,120000000,2000,PG-13,130,Drama,Dramatization,47,6.2,2.73926195,2000,High
Scary Movie,277200000,19000000,2000,R,88,Comedy,Contemporary Fiction,53,6.0,14.589473684210526,2000,Low
The Kid,69688384,65000000,2000,PG,104,Comedy,Contemporary Fiction,49,5.9,1.0721289846153845,2000,Medium
X-Men,334627820,75000000,2000,PG-13,104,Action,Super Hero,82,7.4,4.461704266666667,2000,Medium
What Lies Beneath,288693989,90000000,2000,PG-13,130,Thriller,Contemporary Fiction,45,6.5,3.207710988888889,2000,Medium
Hollow Man,191200000,90000000,2000,R,112,Horror,Science Fiction,28,5.5,2.1244444444444444,2000,Medium
Space Cowboys,128874043,65000000,2000,PG-13,130,Adventure,Science Fiction,79,6.3,1.9826775846153846,2000,Medium
Autumn in New York,90717684,40000000,2000,PG-13,106,Drama,Contemporary Fiction,21,4.8,2.2679421,2000,Low
Bless the Child,40435694,40000000,2000,R,108,Thriller,Fantasy,3,4.8,1.01089235,2000,Low
The Replacements,50054511,50000000,2000,PG-13,118,Comedy,Contemporary Fiction,39,6.2,1.00109022,2000,Low
The Original Kings of Comedy,38236338,3000000,2000,R,116,Concert,Factual,86,6.2,12.745446,2000,Low
The Art of War,30199105,40000000,2000,R,117,Thriller,Contemporary Fiction,16,5.5,0.754977625,2000,Low
Bring it On,90453550,10000000,2000,PG-13,99,Comedy,Contemporary Fiction,63,5.9,9.045355,2000,Low
Nurse Betty,27732366,24000000,2000,R,110,Black Comedy,Contemporary Fiction,84,6.4,1.15551525,2000,Low
Almost Famous,47371191,60000000,2000,R,123,Comedy,Dramatization,88,8.0,0.78951985,2000,Medium
Best in,20695413,6000000,2000,PG-13,90,Comedy,Contemporary Fiction,94,7.4,3.4492355,2000,Low
Remember the Titans,136706683,30000000,2000,PG,113,Drama,Contemporary Fiction,72,7.5,4.556889433333334,2000,Low
Meet the Parents,301500000,55000000,2000,PG-13,108,Comedy,Contemporary Fiction,84,7.0,5.4818181818181815,2000,Medium
Billy Elliot,109280263,5000000,2000,PG-13,110,Drama,Contemporary Fiction,85,7.7,21.8560526,2000,Low
Bedazzled,90376224,48000000,2000,PG-13,93,Comedy,Contemporary Fiction,49,5.9,1.882838,2000,Low
Pay it Forward,33508922,40000000,2000,PG-13,123,Drama,Contemporary Fiction,40,6.8,0.83772305,2000,Low
Charlie's Angels,263200000,90000000,2000,PG-13,98,Adventure,Contemporary Fiction,67,5.5,2.9244444444444446,2000,Medium
The Legend of Bagger Vance,39235486,60000000,2000,PG-13,126,Drama,Historical Fiction,43,6.4,0.6539247666666667,2000,Medium
The 6th Day,96024898,82000000,2000,PG-13,123,Action,Science Fiction,40,5.8,1.1710353414634147,2000,Medium
How the Grinch Stole Christmas,345141403,123000000,2000,PG,104,Comedy,Kids Fiction,53,5.7,2.8060276666666666,2000,High
102 Dalmatians,66941559,85000000,2000,G,100,Comedy,Kids Fiction,30,4.4,0.7875477529411765,2000,Medium
Unbreakable,248099143,73243106,2000,PG-13,107,Thriller,Super Hero,68,7.3,3.387337819889834,2000,Medium
Proof of Life,62761005,65000000,2000,R,135,Action,Contemporary Fiction,39,6.1,0.9655539230769231,2000,Medium
Vertical Limit,213500000,75000000,2000,PG-13,124,Action,Contemporary Fiction,47,5.6,2.8466666666666667,2000,Medium
Chocolat,152500343,25000000,2000,PG-13,122,Drama,Historical Fiction,62,7.3,6.10001372,2000,Low
The Emperor's New Groove,169296573,100000000,2000,G,78,Adventure,Kids Fiction,85,7.4,1.69296573,2000,Medium
What Women Want,372100000,65000000,2000,PG-13,127,Romantic Comedy,Contemporary Fiction,53,6.3,5.724615384615385,2000,Medium
Finding Forrester,80013623,43000000,2000,PG-13,137,Drama,Contemporary Fiction,74,7.2,1.8607819302325581,2000,Low
Cast Away,427230516,85000000,2000,PG-13,144,Drama,Contemporary Fiction,89,7.5,5.026241364705882,2000,Medium
The Family Man,124715863,60000000,2000,PG-13,126,Comedy,Contemporary Fiction,52,6.6,2.0785977166666667,2000,Medium
Miss Congeniality,212100000,45000000,2000,PG-13,110,Comedy,Contemporary Fiction,41,6.1,4.713333333333333,2000,Low
Thirteen Days,66554547,80000000,2000,PG-13,145,Drama,Dramatization,82,7.3,0.8319318375,2000,Medium
Traffic,208300000,48000000,2000,R,147,Drama,Contemporary Fiction,91,7.8,4.339583333333334,2000,Low
The Wedding Planner,94728529,28000000,2001,PG-13,103,Romantic Comedy,Contemporary Fiction,16,4.8,3.38316175,2000,Low
Hannibal,350100280,87000000,2001,R,131,Horror,Contemporary Fiction,39,6.4,4.0241411494252874,2000,Medium
Down to Earth,71172251,30000000,2001,PG-13,87,Comedy,Fantasy,19,5.0,2.372408366666667,2000,Low
The Mexican,147808615,40000000,2001,R,124,Action,Contemporary Fiction,55,5.9,3.695215375,2000,Low
Enemy at the Gates,96971293,85000000,2001,R,131,Drama,Historical Fiction,53,7.4,1.1408387411764707,2000,Medium
Exit Wounds,79958599,33000000,2001,R,100,Action,Contemporary Fiction,33,5.2,2.4229878484848486,2000,Low
Someone Like You,38684906,23000000,2001,PG-13,97,Romantic Comedy,Contemporary Fiction,41,5.8,1.6819524347826087,2000,Low
Spy Kids,197692062,35000000,2001,PG,88,Adventure,Kids Fiction,93,5.7,5.6483446285714285,2000,Low
Along Came a Spider,105159085,28000000,2001,R,103,Thriller,Contemporary Fiction,32,6.1,3.755681607142857,2000,Low
Blow,83282296,30000000,2001,R,123,Drama,Dramatization,54,7.4,2.7760765333333333,2000,Low
Joe Dirt,30987695,16000000,2001,PG-13,91,Comedy,Contemporary Fiction,11,5.4,1.9367309375,2000,Low
Crocodile Dundee in Los Angeles,39393111,25000000,2001,PG,95,Adventure,Contemporary Fiction,12,4.6,1.57572444,2000,Low
Driven,54616869,72000000,2001,PG-13,117,Action,Contemporary Fiction,13,4.2,0.758567625,2000,Medium
The Mummy Returns,433007640,98000000,2001,PG-13,129,Adventure,Fantasy,47,6.2,4.418445306122449,2000,Medium
Shrek,484399218,50000000,2001,PG,90,Adventure,Kids Fiction,89,8.0,9.68798436,2000,Low
Pearl Harbor,449239855,151500000,2001,PG-13,183,Action,Dramatization,26,5.4,2.9652795709570956,2000,High
The Animal,55762229,22000000,2001,PG-13,83,Comedy,Contemporary Fiction,30,4.6,2.534646772727273,2000,Low
Evolution,98341932,80000000,2001,PG-13,102,Comedy,Contemporary Fiction,42,5.9,1.22927415,2000,Medium
Swordfish,147080413,80000000,2001,R,99,Action,Contemporary Fiction,25,6.3,1.8385051625,2000,Medium
The Fast and the Furious,206512310,38000000,2001,PG-13,107,Action,Contemporary Fiction,53,6.0,5.43453447368421,2000,Low
Baby Boy,28734552,16000000,2001,R,130,Drama,Contemporary Fiction,69,6.1,1.7959095,2000,Low
Scary Movie 2,141189101,45000000,2001,R,82,Comedy,Contemporary Fiction,14,4.7,3.137535577777778,2000,Low
Kiss of the Dragon,36833473,25000000,2001,R,98,Action,Contemporary Fiction,51,6.3,1.47333892,2000,Low
Legally Blonde,141743426,18000000,2001,PG-13,97,Comedy,Contemporary Fiction,67,6.2,7.874634777777778,2000,Low
The Score,113542091,68000000,2001,R,124,Thriller,Contemporary Fiction,74,6.8,1.6697366323529412,2000,Medium
Planet of the Apes,362211740,100000000,2001,PG-13,120,Adventure,Science Fiction,44,5.5,3.6221174,2000,Medium
The Princess Diaries,165334774,30000000,2001,G,115,Comedy,Contemporary Fiction,46,5.9,5.511159133333333,2000,Low
Rush Hour 2,347425832,90000000,2001,PG-13,90,Action,Contemporary Fiction,51,6.4,3.8602870222222223,2000,Medium
Captain Corelli's Mandolin,62097495,57000000,2001,R,129,Drama,Historical Fiction,29,5.7,1.0894297368421053,2000,Medium
Rat Race,86607223,48000000,2001,PG-13,112,Comedy,Contemporary Fiction,43,6.4,1.8043171458333334,2000,Low
Jay and Silent Bob Strike Back,33762400,22000000,2001,R,104,Comedy,Contemporary Fiction,53,6.8,1.5346545454545455,2000,Low
The Musketeer,27053815,40000000,2001,PG-13,104,Adventure,Historical Fiction,10,4.4,0.676345375,2000,Low
Hardball,44102389,21000000,2001,PG-13,106,Drama,Contemporary Fiction,38,4.1,2.100113761904762,2000,Low
Zoolander,60780981,28000000,2001,PG-13,89,Comedy,Contemporary Fiction,62,6.4,2.1707493214285716,2000,Low
Serendipity,75294136,28000000,2001,PG-13,91,Romantic Comedy,Contemporary Fiction,58,6.6,2.6890762857142856,2000,Low
Training Day,104505362,45000000,2001,R,122,Drama,Contemporary Fiction,72,7.6,2.3223413777777777,2000,Low
Bandits,71523271,75000000,2001,PG-13,123,Comedy,Contemporary Fiction,63,6.5,0.9536436133333334,2000,Medium
From Hell,31598308,35000000,2001,R,123,Thriller,Historical Fiction,57,6.8,0.9028088,2000,Low
Riding in Cars with Boys,29781453,47000000,2001,PG-13,131,Drama,Dramatization,48,6.2,0.6336479361702128,2000,Low
K-PAX,50315140,48000000,2001,PG-13,121,Drama,Science Fiction,40,7.3,1.0482320833333334,2000,Low
Domestic Disturbance,45207112,53000000,2001,PG-13,89,Thriller,Contemporary Fiction,24,5.3,0.8529643773584905,2000,Medium
"Monsters, Inc.",526864330,115000000,2001,G,95,Adventure,Kids Fiction,95,7.4,4.581428956521739,2000,High
The One,43905746,49000000,2001,PG-13,87,Action,Science Fiction,13,5.6,0.8960356326530612,2000,Low
Heist,28483168,35000000,2001,R,109,Action,Contemporary Fiction,66,3.2,0.8138048,2000,Low
Shallow Hal,70836296,40000000,2001,PG-13,113,Romantic Comedy,Contemporary Fiction,50,6.0,1.7709074,2000,Low
Spy Game,143049560,90000000,2001,R,126,Action,Contemporary Fiction,65,6.9,1.5894395555555556,2000,Medium
In the Bedroom,43430604,1700000,2001,R,130,Drama,Contemporary Fiction,93,7.5,25.547414117647058,2000,Low
Ocean's Eleven,450728529,110000000,2001,PG-13,116,Comedy,Contemporary Fiction,81,7.6,4.097532081818182,2000,High
The Royal Tenenbaums,71430876,28000000,2001,R,110,Black Comedy,Contemporary Fiction,79,7.6,2.5511027142857143,2000,Low
Vanilla Sky,202726605,70000000,2001,R,136,Thriller,Contemporary Fiction,39,6.9,2.8960943571428572,2000,Medium
A Beautiful Mind,316708996,78000000,2001,PG-13,135,Drama,Dramatization,78,8.0,4.0603717435897435,2000,Medium
Joe Somebody,24515990,38000000,2001,PG,98,Comedy,Contemporary Fiction,19,5.3,0.6451576315789473,2000,Low
The Majestic,37306334,72000000,2001,PG,153,Drama,Historical Fiction,41,6.8,0.5181435277777777,2000,Medium
Ali,84383966,109000000,2001,R,159,Drama,Dramatization,67,6.6,0.7741648256880734,2000,High
Gosford Park,41300105,18000000,2001,R,137,Comedy,Historical Fiction,86,7.3,2.294450277777778,2000,Low
Monster's Ball,44873922,4000000,2001,R,111,Drama,Contemporary Fiction,85,7.2,11.2184805,2000,Low
Black Hawk Down,173638745,95000000,2001,R,144,Action,Dramatization,76,7.7,1.8277762631578947,2000,Medium
Snow Dogs,115010692,32000000,2002,PG,99,Comedy,Kids Fiction,23,4.9,3.594084125,2000,Low
The Count of Monte Cristo,54228104,40000000,2002,PG-13,131,Drama,Historical Fiction,74,7.6,1.3557026,2000,Low
A Walk to Remember,46060915,11000000,2002,PG,102,Drama,Contemporary Fiction,28,7.1,4.187355909090909,2000,Low
Big Fat Liar,52375275,15000000,2002,PG,88,Comedy,Contemporary Fiction,43,5.2,3.491685,2000,Low
John Q,102226631,36000000,2002,PG-13,116,Drama,Contemporary Fiction,22,6.6,2.8396286388888887,2000,Low
Dragonfly,30063805,60000000,2002,PG-13,104,Drama,Fantasy,7,5.8,0.5010634166666667,2000,Medium
40 Days and 40 Nights,95092667,17000000,2002,R,96,Romantic Comedy,Contemporary Fiction,38,5.4,5.593686294117647,2000,Low
All About the Benjamins,25873145,14000000,2002,R,95,Comedy,Contemporary Fiction,29,5.3,1.8480817857142857,2000,Low
