Title,Worldwide Gross,Production Budget,Release Year,Content Rating,Running Time,Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,Profit Ratio,Decade,Budget Tier
Body of Lies,108394666,67500000,2008,R,129,Thriller,Contemporary Fiction,52,7.2,1.6058469037037038,2000,Medium
City of Ember,11817059,38000000,2008,PG,94,Adventure,Fantasy,53,6.4,0.31097523684210526,2000,Low
Zack and Miri Make a Porno,36851125,24000000,2008,R,101,Comedy,Contemporary Fiction,65,7.0,1.5354635416666667,2000,Low
Slumdog Millionaire,365257315,14000000,2008,R,116,Drama,Contemporary Fiction,94,8.3,26.089808214285714,2000,Low
Twilight,396439854,37000000,2008,PG-13,120,Drama,Fantasy,50,6.1,10.714590648648649,2000,Low
Frost/Nixon,28144586,29000000,2008,R,122,Drama,Dramatization,92,7.9,0.9705029655172414,2000,Low
The Reader,106107610,33000000,2008,R,123,Drama,Contemporary Fiction,61,7.7,3.215382121212121,2000,Low
The Wrestler,43236603,6000000,2008,R,109,Drama,Contemporary Fiction,98,8.2,7.2061005,2000,Low
The Tale of Despereaux,88717945,60000000,2008,G,93,Adventure,Kids Fiction,55,6.1,1.4786324166666667,2000,Medium
Yes Man,225990976,50000000,2008,PG-13,104,Comedy,Contemporary Fiction,43,7.0,4.51981952,2000,Low
The Curious Case of Benjamin Button,329809326,160000000,2008,PG-13,167,Drama,Fantasy,72,8.0,2.0613082875,2000,High
Valkyrie,198686497,75000000,2008,PG-13,120,Thriller,Dramatization,61,7.3,2.6491532933333333,2000,Medium
Paul Blart: Mall Cop,180449670,26000000,2009,PG,91,Comedy,Contemporary Fiction,35,5.3,6.940371923076923,2000,Low
Inkheart,58051454,60000000,2009,PG,105,Adventure,Fantasy,40,6.1,0.9675242333333334,2000,Medium
Knowing,187858642,50000000,2009,PG-13,121,Thriller,Contemporary Fiction,32,6.4,3.75717284,2000,Low
12 Rounds,18184083,20000000,2009,PG-13,108,Action,Contemporary Fiction,28,5.4,0.90920415,2000,Low
Monsters vs. Aliens,381687380,175000000,2009,PG,95,Adventure,Fantasy,72,6.8,2.181070742857143,2000,High
State of Play,91445389,60000000,2009,PG-13,127,Thriller,Contemporary Fiction,84,7.3,1.5240898166666668,2000,Medium
Dance Flick,32092761,25000000,2009,PG-13,83,Comedy,Contemporary Fiction,17,3.4,1.28371044,2000,Low
Drag Me To Hell,85724728,30000000,2009,PG-13,99,Horror,Fantasy,92,7.1,2.857490933333333,2000,Low
Up,731304609,175000000,2009,PG,96,Adventure,Kids Fiction,98,8.4,4.17888348,2000,High
Away We Go,10108016,21000000,2009,R,98,Comedy,Contemporary Fiction,66,7.3,0.4813340952380952,2000,Low
The Hangover,465132119,35000000,2009,R,99,Comedy,Contemporary Fiction,78,7.9,13.289489114285715,2000,Low
Land of the Lost,69548641,100000000,2009,PG-13,101,Comedy,Fantasy,26,5.3,0.69548641,2000,Medium
Imagine That,16123323,55000000,2009,PG,107,Comedy,Contemporary Fiction,38,5.4,0.29315132727272725,2000,Medium
The Proposal,317358031,40000000,2009,PG-13,107,Romantic Comedy,Contemporary Fiction,43,5.4,7.933950775,2000,Low
Year One,57604723,60000000,2009,PG-13,97,Comedy,Historical Fiction,14,5.0,0.9600787166666667,2000,Medium
Transformers: Revenge of the Fallen,836303693,210000000,2009,PG-13,149,Action,Science Fiction,20,6.0,3.982398538095238,2000,High
My Sister's Keeper,89053995,27500000,2009,PG-13,108,Drama,Contemporary Fiction,48,7.4,3.238327090909091,2000,Low
Harry Potter and the Half-Blood Prince,937499905,250000000,2009,PG,153,Adventure,Fantasy,83,7.3,3.74999962,2000,High
District 9,206552113,30000000,2009,R,111,Thriller,Science Fiction,91,8.3,6.8850704333333335,2000,Low
Inglourious Basterds,320389438,70000000,2009,R,152,Action,Historical Fiction,88,8.4,4.576991971428572,2000,Medium
Taking Woodstock,10061080,29000000,2009,R,120,Drama,Dramatization,48,6.8,0.3469337931034483,2000,Low
Cloudy with a Chance of Meatballs,139525862,100000000,2009,PG,90,Comedy,Kids Fiction,86,7.2,1.39525862,2000,Medium
Paranormal Activity,193770453,15000,2009,R,85,Horror,Contemporary Fiction,82,6.7,12918.0302,2000,Low
Surrogates,119668350,80000000,2009,PG-13,104,Action,Science Fiction,39,6.3,1.495854375,2000,Medium
Zombieland,98690286,23600000,2009,R,87,Comedy,Fantasy,89,7.8,4.181791779661017,2000,Low
Couples Retreat,172450423,60000000,2009,PG-13,113,Comedy,Contemporary Fiction,12,5.5,2.8741737166666668,2000,Medium
The Damned United,4054204,6400000,2009,R,97,Drama,Dramatization,94,7.5,0.633469375,2000,Low
Law Abiding Citizen,113190972,53000000,2009,R,108,Thriller,Contemporary Fiction,25,7.2,2.135678716981132,2000,Medium
Where the Wild Things Are,99123656,100000000,2009,PG,100,Adventure,Fantasy,73,7.2,0.99123656,2000,Medium
Saw VI,61259697,11000000,2009,R,91,Horror,Contemporary Fiction,42,6.2,5.569063363636364,2000,Low
The Men Who Stare at Goats,67348218,24000000,2009,R,93,Black Comedy,Contemporary Fiction,53,6.4,2.80617575,2000,Low
2012,766812167,200000000,2009,PG-13,158,Action,Science Fiction,39,6.2,3.834060835,2000,High
Me and Orson Welles,1190003,25000000,2009,PG-13,107,Drama,Historical Fiction,84,7.1,0.04760012,2000,Low
The Imaginarium of Doctor Parnassus,58692979,30000000,2009,PG-13,122,Adventure,Fantasy,64,7.1,1.9564326333333333,2000,Low
The City of Your Final Destination,493296,8300000,2010,PG-13,114,Drama,Contemporary Fiction,40,6.6,0.059433253012048194,2010,Low
Robin Hood,310885538,210000000,2010,PG-13,140,Action,Historical Fiction,43,6.9,1.480407323809524,2010,High
Inception,753830280,160000000,2010,PG-13,147,Thriller,Science Fiction,87,9.1,4.71143925,2010,High
Scott Pilgrim vs. The World,43149143,85000000,2010,PG-13,112,Comedy,Contemporary Fiction,81,8.1,0.5076369764705883,2010,Medium
The Town,33180607,37000000,2010,R,123,Drama,Contemporary Fiction,84,8.7,0.8967731621621622,2010,Low
